Name,Pruned,RC,SMILES
21,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1F
21,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
21,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
21,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
22,original,reactant,O=C(C=C)NCC1=CC=CC=C1
22,original,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
22,original,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
22,pruned,reactant,C=CC(=O)NCc1ccccc1
22,pruned,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
22,pruned,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
23,original,reactant,O=C(C=C)N(C)C1=CC=CC=C1
23,original,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
23,original,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
23,pruned,reactant,C=CC(=O)N(C)c1ccccc1
23,pruned,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
23,pruned,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
24,original,reactant,O=C(C=C)NC1=CC=CC=C1
24,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
24,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
24,pruned,reactant,C=CC(=O)Nc1ccccc1
24,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
24,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
