Name,Pruned,RC,SMILES
2m,original,product,[H]c1c([H])c(F)c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
2m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
2m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
2m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
3m,original,reactant,O=C(C=C)NC1=CC=CC(Cl)=C1
3m,original,intermediate,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
3m,original,product,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
3m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
3m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
3m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
4m,original,reactant,O=C(C=C)NC1=CC=CC(C)=C1
4m,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c(C([H])([H])[H])c1[H]
4m,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c(C([H])([H])[H])c1[H]
4m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
4m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
4m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
