Name,Pruned,RC,SMILES
22,original,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]
22,pruned,reactant,CNC(=O)/C=C/CN1CCC1
22,pruned,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])C1([H])[H]
22,pruned,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]
23,original,reactant,CNC(=O)/C=C/CN(C)C
23,original,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
23,original,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
23,pruned,reactant,CNC(=O)/C=C/CN(C)C
23,pruned,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
23,pruned,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
24,original,reactant,C/C=C/C(=O)NC
24,original,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])[H]
24,original,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
24,pruned,reactant,C/C=C/C(=O)NC
24,pruned,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])[H]
24,pruned,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
25,original,reactant,CC/C=C/C(=O)NC
25,original,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])C([H])([H])[H]
25,original,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
25,pruned,reactant,CC/C=C/C(=O)NC
25,pruned,intermediate,[H][C-](C(=O)N([H])C([H])([H])[H])C([H])(SC([H])([H])[H])C([H])([H])C([H])([H])[H]
