Name,RC,SMILES,charge,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S2-45.12,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555646.8210598128,6.058718892745674,-1555629.4214228315,-1555636.517780078
S2-45.13,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280264.1679448097,5.367709417827427,-1280252.152795786,-1280258.416041672
S2-45.13,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555368.2363375842,5.205272009596229,-1555342.4246855553,-1555346.9880607561
S2-45.13,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555637.2784749824,3.0618084892630577,-1555621.025349294,-1555629.92790863
S2-45.14,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280257.355052061,2.656134879216552,-1280244.221245914,-1280250.0004271588
S2-45.14,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555341.245678872,3.9943885281682014,-1555312.4571920307,-1555320.1758593058
S2-45.14,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555653.348321463,6.418981412425637,-1555638.504103597,-1555646.8970977229
S2-45.15,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280260.875964699,7.647339577786624,-1280250.4120732655,-1280254.3741313464
S2-45.15,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555375.5289443636,5.12208345066756,-1555344.9419754553,-1555352.2199099653
S2-45.15,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555629.9485447977,2.303233588114381,-1555617.043175369,-1555622.9507986
